KEY,VALUE,Notes,Key,Value
AI_FAIL_CLOSED_ON_PARSE_ERROR,FALSE,Do not write partial AI scores if JSON parsing fails.,,
AI_GRADING_ENABLED,TRUE,Keep FALSE until Gemini API key is saved and tested.,,
AI_GRADING_LOGGING_ENABLED,TRUE,Log AI calls/results/errors to AI Grading Logs.,,
AI_GRADING_MAX_OUTPUT_TOKENS,2048,Max output tokens for grading responses.,,
AI_GRADING_TEMPERATURE,0.2,Low temperature for consistent grading.,,
AI_PROVIDER,gemini,Primary supported value: gemini.,,
AI_REQUIRE_JSON_OUTPUT,TRUE,Require parseable JSON from Gemini.,,
APPLICATION_FORM_ID,1FAIpQLSfU21ujxpQHLAIJjEJD0r1lmkgWoy5oQV7l8t2ZQf6RFvgNKA,Google Form ID (required for form trigger),,
AUTO_BOOK_SCORE_THRESHOLD,60,// Scores 60+ = Qualified for auto-booking phone screen,,
AUTO_BOOKING_ENABLED,TRUE,,,
AUTO_CREATE_MISSING_CALENDAR,FALSE,Auto-create recruiting calendar when possible.,,
AUTO_CREATE_MISSING_FOLDERS,TRUE,Auto-create managed folders when possible.,,
AUTO_CREATE_MISSING_FORMS,TRUE,Existing Forms are used; do not create replacements during go-live,,
AUTO_REJECTION_ENABLED,TRUE,,,
BELOW_MIN_SCORE_THRESHOLD,40,// Scores 20-39 = Below Minimum. Held for manager review — not auto-archived.,,
BUSY_CALENDAR_IDS,"https://calendar.google.com/calendar/embed?src=travis.burd%40frankseuropeanservice.com&ctz=America%2FLos_Angeles, c_2980d8acb5fdf800a7478b1a4f32061aa51741a5ea0c9a690d47fe20ef45b347@group.calendar.google.com, c_5ddb69bb7c9a25860e2b3e4af7b629124932919885c1222cbf0f03856de542c3@group.calendar.google.com, c_d86fc697004a1d3ab15e12f01957c47ae510b18924abcfda2837641c420e91fd@group.calendar.google.com, c_d4d80850bcd6ce5c5f150dd6427b56ea0aa3e4cca64b055c9e1492907ab761f8@group.calendar.google.com



",Comma-separated calendars to check before creating availability blocks.,,
CAND_REF_FORM_ID,1FAIpQLSctvLXIQCBUWESPxfB7UieLf_KG99hF6TYtcNjBYX-zRf_HIg,Auto-filled by setup.,,
CAND_REF_FORM_URL,https://docs.google.com/forms/d/e/1FAIpQLSctvLXIQCBUWESPxfB7UieLf_KG99hF6TYtcNjBYX-zRf_HIg/viewform,Auto-filled by setup.,,
CANDIDATE_RESPONSE_SLA_DAYS,2,// Commitment communicated to candidates for response time (business days),,
COMPANY_ADDRESS,"1931 N Rainbow Blvd | Las Vegas, NV | 89108",Shop address for email footer,,
COMPANY_NAME,Frank's European Service,Full company name for email signatures,,
