Rubric Key,Phase,Category,Weight,Criteria,Notes
prescreen,PreScreen,Answer Specificity,15,"Concrete examples, names, metrics, dates.",
prescreen,PreScreen,Realism,10,Plausible scenarios without exaggeration.,
prescreen,PreScreen,Consistency,15,Cross-question coherence; no contradictions.,
prescreen,PreScreen,Ownership Language,15,I-statements; responsibility taken.,
prescreen,PreScreen,Blame Language,10,Penalize blame of customers/management.,
prescreen,PreScreen,Communication Quality,10,"Grammar, clarity, professionalism.",
prescreen,PreScreen,Role Understanding,10,Correct terminology and expectations.,
prescreen,PreScreen,AI-Generated Risk,5,Detect AI-style polish without voice.,
prescreen,PreScreen,Experience Credibility,10,Resume vs claimed alignment.,
phone_screen,PhoneScreen,Communication,12,"Clarity, professionalism, listening.",
phone_screen,PhoneScreen,Experience Credibility,12,Stories match resume.,
phone_screen,PhoneScreen,Schedule Alignment,10,Confirms required schedule.,
phone_screen,PhoneScreen,Pay Alignment,10,Pay expectations within range.,
phone_screen,PhoneScreen,Ownership Mindset,12,Takes responsibility for outcomes.,
phone_screen,PhoneScreen,Coachability,10,Open to feedback and growth.,
phone_screen,PhoneScreen,Role Understanding,10,Familiar with day-to-day expectations.,
phone_screen,PhoneScreen,Culture Fit,12,Alignment with shop values.,
phone_screen,PhoneScreen,Red Flags,6,"Inconsistencies, blame, evasiveness.",
phone_screen,PhoneScreen,Overall Recommendation,6,Holistic next-step recommendation.,
full_interview,FullInterview,Professional Maturity,12,"Composure, judgment, self-awareness.",
full_interview,FullInterview,Communication Depth,10,"Nuance, structure, storytelling.",
full_interview,FullInterview,Specificity of Examples,10,"Detailed, verifiable examples.",
full_interview,FullInterview,Technical / Role Fit,12,Job-specific competence.,
full_interview,FullInterview,Culture Alignment,10,Values alignment.,
full_interview,FullInterview,Accountability,10,Owns mistakes; learns from them.,
full_interview,FullInterview,Coachability,8,Receptive to direction.,
full_interview,FullInterview,Long-Term Fit,10,Tenure indicators.,
full_interview,FullInterview,Leadership Concerns,8,"Conflict, ego, control issues.",
full_interview,FullInterview,Overall Hiring Confidence,10,Holistic confidence in hire.,
